#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321AC1D4D,,,
#Date Time: 2020-12-03 16:30:41.368,,,
#Sample rate: 7.69231e+06Hz,,,
#Samples: 8192,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,,
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,,
#Wavegen Channel 1: Running,,,
#Mode: Simple,,,
#Type: Sine,,,
#Frequency: 10 kHz,,,
#Period: 100 us,,,
#Amplitude: 1 V,,,
#Offset: 2.5 V,,,
#Symmetry: 50 %,,,
#Phase: 0 ��,,,
#Power Supplies: ON,,,
#Positive Supply: ON,,,
#Voltage: 5 V,,,
#Negative Supply: ON,,,
#Voltage: -5 V,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),
0.4316611,4.443379923,1.888086368,
0.43166123,4.450907387,1.894567093,
0.43166136,4.447143655,1.901088211,
0.43166149,4.443379923,1.907649287,
0.43166162,4.450907387,1.914249883,
0.43166175,4.443379923,1.92088956,
0.43166188,4.447143655,1.927567874,
0.43166201,4.447143655,1.93428438,
0.43166214,4.447143655,1.941038629,
0.43166227,4.447143655,1.947830171,
0.4316624,4.450907387,1.954658553,
0.43166253,4.450907387,1.961523319,
0.43166266,4.454671119,1.968424011,
0.43166279,4.450907387,1.975360169,
0.43166292,4.447143655,1.98233133,
0.43166305,4.447143655,1.989337029,
0.43166318,4.454671119,1.996376798,
0.43166331,4.454671119,2.003450169,
0.43166344,4.447143655,2.010556668,
0.43166357,4.450907387,2.017695821,
0.4316637,4.450907387,2.024867154,
0.43166383,4.447143655,2.032070186,
0.43166396,4.447143655,2.039304437,
0.43166409,4.450907387,2.046569426,
0.43166422,4.439616192,2.053864666,
0.43166435,4.447143655,2.061189672,
0.43166448,4.443379923,2.068543954,
0.43166461,4.439616192,2.075927023,
0.43166474,4.443379923,2.083338384,
0.43166487,4.439616192,2.090777545,
0.431665,4.443379923,2.098244008,
0.43166513,4.43585246,2.105737276,
0.43166526,4.443379923,2.113256848,
0.43166539,4.439616192,2.120802223,
0.43166552,4.439616192,2.128372897,
0.43166565,4.432088728,2.135968365,
0.43166578,4.432088728,2.143588121,
0.43166591,4.432088728,2.151231656,
0.43166604,4.428324996,2.158898461,
0.43166617,4.424561265,2.166588023,
0.4316663,4.424561265,2.174299829,
0.43166643,4.428324996,2.182033366,
0.43166656,4.424561265,2.189788117,
0.43166669,4.420797533,2.197563565,
0.43166682,4.417033801,2.20535919,
0.43166695,4.409506338,2.213174474,
0.43166708,4.398215143,2.221008894,
0.43166721,4.386923947,2.228861928,
0.43166734,4.375632752,2.236733051,
0.43166747,4.368105289,2.24462174,
0.4316676,4.34928663,2.252527466,
0.43166773,4.337995435,2.260449704,
0.43166786,4.330467971,2.268387924,
0.43166799,4.319176776,2.276341597,
0.43166812,4.300358117,2.284310191,
0.43166825,4.289066922,2.292293176,
0.43166838,4.270248263,2.300290019,
0.43166851,4.247665873,2.308300187,
0.43166864,4.232610946,2.316323144,
0.43166877,4.210028556,2.324358356,
0.4316689,4.19873736,2.332405286,
0.43166903,4.168627506,2.340463398,
0.43166916,4.146045116,2.348532153,
0.43166929,4.127226457,2.356611015,
0.43166942,4.11217153,2.364699443,
0.43166955,4.085825408,2.372796898,
0.43166968,4.070770481,2.38090284,
0.43166981,4.048188091,2.389016728,
0.43166994,4.029369432,2.39713802,
0.43167007,4.006787042,2.405266175,
0.4316702,3.984204651,2.413400651,
0.43167033,3.961622261,2.421540904,
0.43167046,3.942803602,2.429686392,
0.43167059,3.923984943,2.437836572,
0.43167072,3.905166285,2.445990898,
0.43167085,3.886347626,2.454148828,
0.43167098,3.867528967,2.462309817,
0.43167111,3.848710309,2.470473321,
0.43167124,3.82989165,2.478638795,
0.43167137,3.807309259,2.486805694,
0.4316715,3.792254332,2.494973473,
0.43167163,3.76590821,2.503141587,
0.43167176,3.750853283,2.511309492,
0.43167189,3.720743429,2.519476643,
0.43167202,3.705688502,2.527642494,
0.43167215,3.686869844,2.535806501,
0.43167228,3.671814917,2.543968118,
0.43167241,3.649232526,2.552126803,
0.43167254,3.630413868,2.560282009,
0.43167267,3.607831477,2.568433194,
0.4316728,3.589012819,2.576579813,
0.43167293,3.566430428,2.584721322,
0.43167306,3.547611769,2.592857179,
0.43167319,3.528793111,2.600986841,
0.43167332,3.509974452,2.609109765,
0.43167345,3.48362833,2.61722541,
0.43167358,3.461045939,2.625333234,
0.43167371,3.434699817,2.633432695,
0.43167384,3.415881158,2.641523254,
0.43167397,3.393298768,2.649604371,
0.4316741,3.370716378,2.657675507,
0.43167423,3.344370255,2.665736123,
0.43167436,3.318024133,2.673785681,
0.43167449,3.295441743,2.681823645,
0.43167462,3.265331889,2.689849477,
0.43167475,3.238985767,2.697862644,
0.43167488,3.216403376,2.705862609,
0.43167501,3.190057254,2.713848839,
0.43167514,3.171238595,2.721820802,
0.43167527,3.141128741,2.729777965,
0.4316754,3.114782619,2.737719798,
0.43167553,3.084672765,2.745645771,
0.43167566,3.058326643,2.753555355,
0.43167579,3.028216789,2.761448022,
0.43167592,3.001870667,2.769323246,
0.43167605,2.975524545,2.777180501,
0.43167618,2.945414691,2.785019262,
0.43167631,2.926596032,2.792839008,
0.43167644,2.90024991,2.800639217,
0.43167657,2.885194983,2.808419367,
0.4316767,2.855085129,2.81617894,
0.43167683,2.828739007,2.823917418,
0.43167696,2.802392885,2.831634285,
0.43167709,2.772283031,2.839329026,
0.43167722,2.749700641,2.847001128,
0.43167735,2.723354518,2.854650078,
0.43167748,2.700772128,2.862275367,
0.43167761,2.674426006,2.869876485,
0.43167774,2.648079884,2.877452926,
0.43167787,2.621733761,2.885004184,
0.431678,2.591623907,2.892529755,
0.43167813,2.565277785,2.900029137,
